index,continent,CNT,PV1MATH,ST57Q01
"(2.313, 3.69](2.313, 3.69]",Africa,Tunisia,335.0483,2.83333333333
"(2.313, 3.69](2.313, 3.69]",Asia,Indonesia,305.97445,1.0
"(2.313, 3.69](2.313, 3.69]",Asia,Israel,458.8799,
"(2.313, 3.69](2.313, 3.69]",Asia,Jordan,330.844828571,2.0
"(2.313, 3.69](2.313, 3.69]",Asia,Kazakhstan,349.9844,
"(2.313, 3.69](2.313, 3.69]",Asia,Singapore,556.5587,0.0
"(2.313, 3.69](2.313, 3.69]",Asia,Thailand,345.155,10.0
"(2.313, 3.69](2.313, 3.69]",Asia,Vietnam,467.35085,2.0
"(2.313, 3.69](2.313, 3.69]",Central America,Costa Rica,402.8743,
"(2.313, 3.69](2.313, 3.69]",Europe,Belgium,286.03365,
"(2.313, 3.69](2.313, 3.69]",Europe,Bulgaria,286.67236,1.0
"(2.313, 3.69](2.313, 3.69]",Europe,Italy,410.8194,0.0
"(2.313, 3.69](2.313, 3.69]",Europe,Norway,351.6981,
"(2.313, 3.69](2.313, 3.69]",Europe,Romania,356.138016667,4.25
"(2.313, 3.69](2.313, 3.69]",Europe,Spain,258.1477,0.0
"(2.313, 3.69](2.313, 3.69]",Europe,Turkey,396.7986,
"(2.313, 3.69](2.313, 3.69]",North America,Canada,443.9243,
"(2.313, 3.69](2.313, 3.69]",North America,Mexico,395.2115,3.4
"(2.313, 3.69](2.313, 3.69]",South America,Brazil,321.27278,11.3333333333
"(2.313, 3.69](2.313, 3.69]",South America,Colombia,182.2402,2.0
"(2.313, 3.69](2.313, 3.69]",South America,Peru,226.289166667,
"(-5.95, -4.573](-5.95, -4.573]",Africa,Tunisia,355.545587814,2.8828125
"(-5.95, -4.573](-5.95, -4.573]",Asia,Indonesia,349.821836085,3.92771084337
"(-5.95, -4.573](-5.95, -4.573]",Asia,Israel,319.527957143,5.0
"(-5.95, -4.573](-5.95, -4.573]",Asia,Jordan,352.035327273,3.81818181818
"(-5.95, -4.573](-5.95, -4.573]",Asia,Kazakhstan,399.647257143,3.0
"(-5.95, -4.573](-5.95, -4.573]",Asia,Malaysia,361.72885,2.89285714286
